                A                       B                               C               D                       E
01        !date         |!transaction_id                        |!tokens        |!token_prices          |!total_cost
02        2022-02-20    |=concat("t_", text(incFrom(1)))        |btc,eth,dai    |38341.88,2643.77,1.0003|=sum(spread(split(D2, ",")))
03        2022-02-21    |=^^                                    |bch,eth,dai    |304.38,2621.15,1.0001  |=E^+sum(spread(split(D3, ",")))
04        2022-02-22    |=^^                                    |sol,eth,dai    |85,2604.17,0.9997      |=^^

05        !fee          |!cost_threshold                        |               |                       |
06        0.09          |10000                                  |               |                       |

07        !adjusted_cost|                                       |               |                       |
08        =E^v+(E^v*A6) |                                       |               |                       |

09        !cost_too_high|                                       |               |                       |
10        =text(bte(@adjusted_cost<1>, @cost_threshold<1>)      |               |                       |
